feed,provider,agencies,icc,nearest_fua,model,n_products,n_od_pairs,currency,price_min,price_max,n_stops,lon,lat,tables,modes
tdg-81394,Région des Pays de la Loire,Aleop à la demande,FR,Angers (34 km),Declared only,0,0,,,,2645,-0.928,47.6252,"networks,route_networks",Bus
tdg-82097,Pays de Saint Gilles Croix de Vie Agglomération,Nombalais,FR,Nantes (65 km),Declared only,0,0,,,,116,-1.9308,46.6961,"fare_attributes,fare_rules",Bus
tdg-83746,Communauté de communes pays d'Evian - vallée d'Abondance,cc-peva; EVAD,FR,Lausanne (19 km),Declared only,0,0,,,,277,6.6121,46.3694,"fare_attributes,fare_rules",Bus
mdb-862,Weekendbus,Weekendbus,HU,Budapest (9 km),Zone-to-zone OD,6,319,HUF,400.0,550.0,55,19.2196,47.5365,"fare_attributes,fare_rules",Bus
mdb-1194,"Bus Company S.r.l., Gunetto Autolinee S.r.l., Bus Company S.r.l., GelosoBus S.r.",Bus Company S.r.l.; Gunetto Autolinee S.r.l. +12,IT,Torino (58 km),Zone-to-zone OD,169,555277,EUR,0.55,9.2,5296,7.7174,44.5548,"fare_attributes,fare_rules",Bus+Other
mdb-3041,Trasporto Passeggeri Emilia-Romagna,Marconi Express,IT,Bologna (4 km),Zone-to-zone OD,2,3,EUR,2.3,12.8,3,11.3178,44.5179,"areas,fare_attributes,fare_leg_rules,fare_media,fare_products,fare_rules,stop_areas",Other
mdb-2055,Daytrip Shuttle,Daytrip,IT,Napoli (9 km),Per-route,3,0,EUR,14.0,34.0,4,14.3828,40.8013,"fare_attributes,fare_rules",Bus
mdb-2373,AMAT Palermo S.P.A.,AMAT Palermo S.p.A.,IT,Palermo (2 km),Per-route,2,0,EUR,1.4,1.8,1653,13.3369,38.1232,"fare_attributes,fare_rules",Bus+Other
mdb-2687,Gruppo Torinese Trasporti (GTT),GTT Servizio Extraurbano; GTT Servizio Ferroviario +2,IT,Torino (3 km),Per-route,2,0,EUR,2.0,2.0,7073,7.6854,45.0773,"fare_attributes,fare_rules",Bus+Other
mdb-1264,Azienda Varesina Trasporti (AVT),Azienda Varesina Trasporti,IT,Milano (51 km),Flat,1,0,EUR,1.0,1.0,2,8.7893,45.8596,fare_attributes,Other
tld-576,CTM SpA Cagliari,CTM Spa,IT,Cagliari (4 km),Flat,1,0,EUR,1.3,1.3,1048,9.1306,39.2345,fare_attributes,Bus
mdb-1154,Regione Piemonte,A.T.A.P. S.p.A.; A.T.A.V. VIGO S.p.A. +87,IT,Torino (26 km),Declared only,0,0,,,,5390,7.9673,44.9947,"fare_attributes,fare_rules",Bus+Other
mdb-1170,Trenitalia Piemonte,TRENITALIA ,IT,Torino (47 km),Declared only,0,0,,,,244,8.2522,45.0821,"fare_attributes,fare_rules",Rail
