agency,mode,n_ods,country,operator
TRAINOSE SA,Rail,1,EL,Hellenic Train
HZZP,Rail,1,"AT,DE,HR,SI",HŽPP
HŽ Putnicki prijevoz,Rail,1,HR,HŽPP
VD-EXPRESS,Bus,1,IT,VD-EXPRESS
Diamant Travel,Bus,1,IT,Diamant Travel
LOGUDORO TOURS S.R.L.,Bus,1,IT,Logudoro Tours
LTG Link,Rail,1,"LT,LV",LTG Link
CFL,Rail,1,"BE,DE,LU",CFL
Go-Ahead Norge AS,Rail,1,NO,Go-Ahead Norge
VY Bus4You,Bus,1,"DK,NO,SE",Vy
PolRegio,Bus,1,"DE,PL",Polregio
PKP Intercity,Bus,1,PL,PKP
Łódzka Kolej Aglomeracyjna,Rail,1,PL,ŁKA
InterRegional Călători,Rail,1,RO,InterRegional Călători
Snälltåget,Bus,1,"DE,DK,SE",Snälltåget
SJ Nord,Rail,1,NO,SJ
Länstrafiken Örebro AB,Rail,1,SE,Länstrafiken Örebro
UL,Bus,1,SE,UL
Trainose Sa,Rail,1,EL,Hellenic Train
